ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DEPARTAMENTO,NOMBRE_TARIFA_PLAN,TARIFA_NORMAL,TARIFA_REDUCIDA,TARIFA_SUPER_REDUCIDA,SMS_LIBRES,RED_DESTINO,TARIFA_SMS_ADICIONAL,MB_DISPONIBLES,ORIGEN_LLAMADA,PRECIO_MENSUAL,PRECIO_MB_ADICIONAL,DENOMINACION_TECNOLOGIA,TIPO_PAGO,OTROS_BENEFICIOS
12529,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,INTELIGENTE 300,0.83,0.83,0.83,60,,0.20,2000,,300,0.029,,,
11147,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,MEGA PLAN 269,0.80,0.80,0.80,Ilimitado,,0.20,ILIMITADO,,269,0.03,,,
13163,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,FACTURA FIJA 100,0.85,0.69,0.69,0,,0.20,0,,100,0.03,,,
9799,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,NEGOCIO PLUS 275,0.88,0.88,0.88,200,,0.20,8500,,275,0.03,,,
13737,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,FACTURA FIJA 220,0.85,0.69,0.69,0,,0.20,0,,220,0.03,,,
11436,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,GIGAPLAN 240,0.60,0.50,0,5,,0.20,22528,,240,0.02,,,
9827,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,PAQUETIGO DE MINUTOS HOME 2,15,15,15,0,,0.20,0,,15,0.15,,,
12535,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,EMPRESA,0.60,0.60,0.60,0,,0.20,0,,4999,0.0083,,,
10873,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,SIMPLE ILIMITADO 150,0.70,0.54,0.40,100,,0.20,5120,,150,0.02,,,
12524,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,INTELIGENTE FACIL 150,0.89,0.89,0.89,30,,0.20,800,,150,0.029,,,
